Stream Prefetchers,602.gcc_s-1850B.champsimtrace.xz.txt,603.bwaves_s-1740B.champsimtrace.xz.txt,sssp-3.trace.gz.txt,bc-0.trace.gz.txt,619.lbm_s-2677B.champsimtrace.xz.txt
stream_prefetcher_deg2_dist3,0.32003,0.350443,0.280003,0.130059,0.211099
stream_prefetcher_deg2_dist4,0.320066,0.350486,0.280126,0.13011,0.211059
stream_prefetcher_deg3_dist3,0.319577,0.349596,0.276037,0.126713,0.21084
stream_prefetcher_deg3_dist4,0.319744,0.349243,0.275706,0.126617,0.210468
stream_prefetcher_deg4_dist3,0.318782,0.348796,0.271945,0.12341,0.210709
stream_prefetcher_deg4_dist4,0.319383,0.348336,0.271485,0.123126,0.209961
stream_prefetcher_deg5_dist3,0.31799,0.347994,0.267778,0.12006,0.210408
stream_prefetcher_deg5_dist4,0.318872,0.347284,0.266973,0.119551,0.209611
stream_prefetcher_deg6_dist3,0.317189,0.347246,0.263458,0.116762,0.210273
stream_prefetcher_deg6_dist4,0.318404,0.346498,0.262665,0.115764,0.209179
