stream_plus_stride_prefetchers,602.gcc_s-1850B.champsimtrace.xz.txt,602.gcc_s-1850B.champsimtrace.xz.txt,603.bwaves_s-1740B.champsimtrace.xz.txt,603.bwaves_s-1740B.champsimtrace.xz.txt,sssp-3.trace.gz.txt,sssp-3.trace.gz.txt,bc-0.trace.gz.txt,bc-0.trace.gz.txt,619.lbm_s-2677B.champsimtrace.xz.txt,619.lbm_s-2677B.champsimtrace.xz.txt
stream_plus_stride_prefetcher_deg2_dist3,0.977991468305284,0.313858,0.988262045579554,0.348562,0.93906033016924,0.271164,0.932677429714186,0.127788,0.990050384363408,0.210058
stream_plus_stride_prefetcher_deg2_dist4,0.982643703590603,0.315351,0.988327256437446,0.348585,0.939919171910334,0.271412,0.933429188684203,0.127891,0.990356743916406,0.210123
stream_plus_stride_prefetcher_deg3_dist3,0.975810246135342,0.313158,0.987048556571837,0.348134,0.923819352336361,0.266763,0.907621230257204,0.124355,0.988297065075482,0.209686
stream_plus_stride_prefetcher_deg3_dist4,0.970248129601989,0.311373,0.983850389280469,0.347006,0.916827410903827,0.264744,0.903979213499547,0.123856,0.986892524355584,0.209388
stream_plus_stride_prefetcher_deg4_dist3,0.968926932173338,0.310949,0.983714297055304,0.346958,0.90503565232147,0.261339,0.881937348553411,0.120836,0.987392126088166,0.209494
stream_plus_stride_prefetcher_deg4_dist4,0.967867481405081,0.310609,0.982614218235224,0.34657,0.902930104827175,0.260731,0.87982074562812,0.120546,0.984818705842984,0.208948
stream_plus_stride_prefetcher_deg5_dist3,0.961249030135142,0.308485,0.980533141292082,0.345836,0.885410425923168,0.255672,0.855983417510875,0.11728,0.985780203517008,0.209152
stream_plus_stride_prefetcher_deg5_dist4,0.961367439338653,0.308523,0.978769612874324,0.345214,0.881531785802099,0.254552,0.851275800659796,0.116635,0.981604287148453,0.208266
stream_plus_stride_prefetcher_deg6_dist3,0.959223609548767,0.307835,0.97893972815578,0.345274,0.87206028514931,0.251817,0.833175196333168,0.114155,0.984889404201368,0.208963
stream_plus_stride_prefetcher_deg6_dist4,0.958781133051436,0.307693,0.975934358183396,0.344214,0.86530383258127,0.249866,0.824008116077424,0.112899,0.980463686966522,0.208024
normal,,0.320921,,0.352702,,0.288761,,0.137012,,0.212169
